STT,Ten_sp,Gia_moi,Gia_cu,Ten_hang
138,Điện thoại Samsung Galaxy A71 Xanh,9.190.000đ,10.490.000đ,Samsung
139,Điện thoại Samsung Galaxy A21s 3GB/32GB Xanh,4.390.000đ,4.690.000đ,Samsung
140,Điện thoại Samsung Galaxy A11 Xanh,3.390.000đ,3.690.000đ,Samsung
141,Điện thoại Samsung Galaxy A11 Đen,3.390.000đ,3.690.000đ,Samsung
142,Điện thoại Samsung Galaxy S20+ Xám,19.990.000đ,23.990.000đ,Samsung
143,Điện thoại Samsung Galaxy A01 Core Đen,1.690.000đ,1.990.000đ,Samsung
144,Samsung Galaxy Note 10 Lite Đen,10.490.000đ,11.490.000đ,Samsung
145,Samsung Galaxy S20+ Đen,19.990.000đ,23.990.000đ,Samsung
146,Điện thoại iPhone SE 128GB Đen (2020),12.790.000đ,14.990.000đ,iPhone
147,Điện thoại iPhone 11 Pro Max 64GB Vàng đồng,28.990.000đ,33.990.000đ,iPhone
148,Điện thoại iPhone 11 Pro Max 64GB Xanh lá,28.990.000đ,33.990.000đ,iPhone
149,Điện thoại iPhone 11 64GB Đen,17.790.000đ,21.990.000đ,iPhone
